"Step","pca_resnet - episode_reward","pca_resnet - episode_reward__MIN","pca_resnet - episode_reward__MAX","complete_frozen_low_lr - episode_reward","complete_frozen_low_lr - episode_reward__MIN","complete_frozen_low_lr - episode_reward__MAX","cnn_scratch - episode_reward","cnn_scratch - episode_reward__MIN","cnn_scratch - episode_reward__MAX"
"48","","","","","","","","",""
"59","","","","","","","","",""
"72","","","","","","","","",""
"118","","","","","","","","",""
"148","","","","","","","","",""
"150","","","","","","","","",""
"153","","","","","","","","",""
"154","","","","","","","","",""
"163","","","","","","","","",""
"184","","","","","","","","",""
"224","","","","","","","","",""
"249","","","","","","","","",""
"258","","","","","","","","",""
"265","","","","","","","","",""
"277","","","","","","","","",""
"280","","","","","","","","",""
"291","","","","","","","","",""
"300","","","","","","","","",""
"304","","","","","","","","",""
"317","","","","","","","","",""
"336","","","","","","","","",""
"352","","","","","","","","",""
"388","","","","","","","","",""
"424","","","","","","","","",""
"429","","","","","","","","",""
"464","","","","","","","","",""
"476","","","","","","","","",""
"514","","","","","","","","",""
"533","","","","","","","","",""
"548","","","","","","","","",""
"585","","","","","","","","",""
"612","","","","","","","","",""
"645","","","","","","","","",""
"651","","","","","","","","",""
"685","","","","","","","","",""
"751","","","","","","","","",""
"762","","","","","","","","",""
"788","","","","","","","","",""
"801","","","","","","","","",""
"806","","","","","","","","",""
"812","","","","","","","","",""
"839","","","","","","","","",""
"884","","","","","","","","",""
"921","","","","","","","","",""
"947","","","","","","","","",""
"961","","","","","","","","",""
"964","","","","","","","","",""
"975","","","","","","","","",""
"990","","","","","","","","",""
"996","","","","","","","","",""
"997","","","","","","","","",""
"1020","","","","","","","","",""
"1024","0.146383093022111","0.146383093022111","0.146383093022111","0.1440538657698207","0.1440538657698207","0.1440538657698207","0.15376988956217008","0.15376988956217008","0.15376988956217008"
"1049","","","","","","","","",""
"1066","","","","","","","","",""
"1074","","","","","","","","",""
"1103","","","","","","","","",""
"1112","","","","","","","","",""
"1128","","","","","","","","",""
"1130","","","","","","","","",""
"1136","","","","","","","","",""
"1164","","","","","","","","",""
"1167","","","","","","","","",""
